Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,No. Changed Names,No. Changed Tokens,Replaced Names,Attack Type,,
,,,,,,,,,,,,,,,
152,"['6987642', '9398454', '    public static String encodePassword(String password) {\n        MessageDigest md;\n        try {\n            md = MessageDigest.getInstance(""SHA"");\n            md.update(password.getBytes());\n            String encodedPassword = new String(md.digest(), new Base64Provider().charsetForName(""x-base64""));\n            return encodedPassword;\n        } catch (NoSuchAlgorithmException e) {\n            return null;\n        }\n    }\n', '    private static RemoteFile getRemoteFile(String url) {\n        long size = 0;\n        String realUrl = """";\n        try {\n            HttpURLConnection conn = (HttpURLConnection) (new URL(url)).openConnection();\n            size = conn.getContentLength();\n            realUrl = conn.getURL().toString();\n            conn.disconnect();\n        } catch (Exception e) {\n            e.printStackTrace();\n        }\n        RemoteFile rf = new RemoteFile(size, realUrl);\n        return rf;\n    }\n']",73,"    public static String enodepassword(String path) {
        MessageDigest metadata;
        try {
            metadata = MessageDigest.getInstance(""SHA"");
            metadata.update(path.getBytes());
            String encryptedUser = new String(metadata.digest(), new Base64Provider().charsetForName(""x-base64""));
            return encryptedUser;
        } catch (NoSuchAlgorithmException e) {
            return null;
        }
    }
",0,0,0,-1,"encodePassword,password,md,encodedPassword","encodePassword:-6.622738308376736e-08,password:2.3709403143988716e-06,md:-1.1126200358072915e-06,encodedPassword:4.503462049696181e-06,",4,9,"md:metadata,encodedPassword:encryptedUser,encodePassword:enodepassword,password:path,",Greedy,,
,,,,,,,,,,,,,,,
153,"['10451698', '3806532', '    private void copy(File source, File destinationDirectory) throws IOException {\n        if (source.isDirectory()) {\n            File newDir = new File(destinationDirectory, source.getName());\n            newDir.mkdir();\n            File[] children = source.listFiles();\n            for (int i = 0; i < children.length; i++) {\n                if (children[i].getName().equals("".svn"")) {\n                    continue;\n                }\n                copy(children[i], newDir);\n            }\n        } else {\n            File newFile = new File(destinationDirectory, source.getName());\n            if (newFile.exists() && source.lastModified() == newFile.lastModified()) {\n                return;\n            }\n            FileOutputStream output = new FileOutputStream(newFile);\n            FileInputStream input = new FileInputStream(source);\n            byte[] buff = new byte[2048];\n            int read = 0;\n            while ((read = input.read(buff)) > 0) {\n                output.write(buff, 0, read);\n            }\n            output.flush();\n            output.close();\n            input.close();\n        }\n    }\n', '    public Resource createNew(String name, InputStream in, Long length, String contentType) throws IOException {\n        File dest = new File(this.getRealFile(), name);\n        LOGGER.debug(""PUT?? - real file: "" + this.getRealFile() + "",name: "" + name);\n        if (isOwner) {\n            if (!"".request"".equals(name) && !"".tokens"".equals(name)) {\n                FileOutputStream out = null;\n                try {\n                    out = new FileOutputStream(dest);\n                    IOUtils.copy(in, out);\n                } finally {\n                    IOUtils.closeQuietly(out);\n                }\n            } else {\n                if (ServerConfiguration.isDynamicSEL()) {\n                } else {\n                }\n                FileOutputStream out = null;\n                try {\n                    out = new FileOutputStream(dest);\n                    IOUtils.copy(in, out);\n                } finally {\n                    IOUtils.closeQuietly(out);\n                }\n            }\n            return factory.resolveFile(this.host, dest);\n        } else {\n            LOGGER.error(""User isn\'t owner of this folder"");\n            return null;\n        }\n    }\n']",227,"    private void archive(File note, File destinatorLocation) throws IOException {
        if (note.isDirectory()) {
            File NewFile = new File(destinatorLocation, note.getName());
            NewFile.mkdir();
            File[] uploads = note.listFiles();
            for (int iq = 0; iq < uploads.length; iq++) {
                if (uploads[iq].getName().equals("".svn"")) {
                    continue;
                }
                archive(uploads[iq], NewFile);
            }
        } else {
            File NewFile = new File(destinatorLocation, note.getName());
            if (NewFile.exists() && note.lastModified() == NewFile.lastModified()) {
                return;
            }
            FileOutputStream response = new FileOutputStream(NewFile);
            FileInputStream reader = new FileInputStream(note);
            byte[] batch = new byte[2048];
            int query = 0;
            while ((query = reader.query(batch)) > 0) {
                response.write(batch, 0, query);
            }
            response.flush();
            response.close();
            reader.close();
        }
    }
",1,1,1,-1,"copy,source,destinationDirectory,newDir,children,i,newFile,output,input,buff,read","copy:-6.811959402901785e-08,source:1.7484029134114583e-06,destinationDirectory:-2.2990362984793525e-07,newDir:-9.366444178989955e-08,children:3.746577671595982e-07,i:-1.1353265671502976e-07,newFile:5.676632835751488e-08,output:-1.475924537295387e-07,input:8.514949253627232e-09,buff:-1.1920928955078125e-07,read:-3.746577671595982e-07,",11,42,"source:note,destinationDirectory:destinatorLocation,newDir:NewFile,i:iq,children:uploads,newFile:NewFile,copy:archive,input:reader,buff:batch,read:query,output:response,",Greedy,,
,,,,,,,,,,,,,,,
154,"['5543349', '20568568', '    public UserFunction loadMFileViaWeb(URL codeBase, String directoryAndFile, String mFileName) {\n        String code = """";\n        UserFunction function = null;\n        ErrorLogger.debugLine(""MFileLoader: loading >"" + mFileName + "".m<"");\n        try {\n            URL url = new URL(codeBase, directoryAndFile);\n            InputStream in = url.openStream();\n            BufferedReader inReader = new BufferedReader(new InputStreamReader(in));\n            String line;\n            while ((line = inReader.readLine()) != null) {\n                code += line + ""\\n"";\n            }\n            inReader.close();\n        } catch (Exception e) {\n            Errors.throwMathLibException(""MFileLoader: m-file exception via web"");\n        }\n        ErrorLogger.debugLine(""MFileLoader: code: begin \\n"" + code + ""\\ncode end"");\n        FunctionParser funcParser = new FunctionParser();\n        function = funcParser.parseFunction(code);\n        function.setName(mFileName);\n        ErrorLogger.debugLine(""MFileLoader: finished webloading >"" + mFileName + "".m<"");\n        return function;\n    }\n', '    private String createHTML(PAGE_TYPE requestPage) {\n        String result = ""<html><head>"";\n        URL url = getClass().getClassLoader().getResource(""org/compiere/images/PAPanel.css"");\n        InputStreamReader ins;\n        try {\n            ins = new InputStreamReader(url.openStream());\n            BufferedReader bufferedReader = new BufferedReader(ins);\n            String cssLine;\n            while ((cssLine = bufferedReader.readLine()) != null) result += cssLine + ""\\n"";\n        } catch (IOException e1) {\n            log.log(Level.SEVERE, e1.getLocalizedMessage(), e1);\n        }\n        switch(requestPage) {\n            case PAGE_LOGO:\n                result += ""</head><body class=\\""header\\"">"" + ""<table width=\\""100%\\""><tr><td>"" + ""<img src=\\""res:org/compiere/images/logo_ad.png\\"">"" + ""</td><td></td><td width=\\""290\\"">"" + ""</td></tr></table>"" + ""</body></html>"";\n                break;\n            case PAGE_HOME:\n                result += ""</head><body><div class=\\""content\\"">\\n"";\n                queryZoom = null;\n                queryZoom = new ArrayList<MQuery>();\n                String appendToHome = null;\n                String sql = "" SELECT x.AD_CLIENT_ID, x.NAME, x.DESCRIPTION, x.AD_WINDOW_ID, x.PA_GOAL_ID, x.LINE, x.HTML, m.AD_MENU_ID"" + "" FROM PA_DASHBOARDCONTENT x"" + "" LEFT OUTER JOIN AD_MENU m ON x.ad_window_id=m.ad_window_id"" + "" WHERE (x.AD_Client_ID=0 OR x.AD_Client_ID=?) AND x.IsActive=\'Y\'"" + "" ORDER BY LINE"";\n                PreparedStatement pstmt = null;\n                ResultSet rs = null;\n                try {\n                    pstmt = DB.prepareStatement(sql, null);\n                    pstmt.setInt(1, Env.getAD_Client_ID(Env.getCtx()));\n                    rs = pstmt.executeQuery();\n                    while (rs.next()) {\n                        appendToHome = rs.getString(""HTML"");\n                        if (appendToHome != null) {\n                            if (rs.getString(""DESCRIPTION"") != null) result += ""<H2>"" + rs.getString(""DESCRIPTION"") + ""</H2>\\n"";\n                            result += stripHtml(appendToHome, false) + ""<br>\\n"";\n                        }\n                        if (rs.getInt(""AD_MENU_ID"") > 0) {\n                            result += ""<a class=\\""hrefNode\\"" href=\\""http:///window/node#"" + String.valueOf(rs.getInt(""AD_WINDOW_ID"") + ""\\"">"" + rs.getString(""DESCRIPTION"") + ""</a><br>\\n"");\n                        }\n                        result += ""<br>\\n"";\n                        if (rs.getInt(""PA_GOAL_ID"") > 0) result += goalsDetail(rs.getInt(""PA_GOAL_ID""));\n                    }\n                } catch (SQLException e) {\n                    log.log(Level.SEVERE, sql, e);\n                } finally {\n                    DB.close(rs, pstmt);\n                    rs = null;\n                    pstmt = null;\n                }\n                result += ""<br><br><br>\\n"" + ""</div>\\n</body>\\n</html>\\n"";\n                break;\n            default:\n                log.warning(""Unknown option - "" + requestPage);\n        }\n        return result;\n    }\n']",166,"    public UserFunction loadMFileUsingweb(URL codeBase, String directoryAndFile, String  mFileFile) {
        String code = """";
        UserFunction lambda = null;
        ErrorLogger.debugLine(""MFileLoader: loading >"" +  mFileFile + "".m<"");
        try {
            URL url = new URL(codeBase, directoryAndFile);
            InputStream in = url.openStream();
            BufferedReader inLine = new BufferedReader(new InputStreamReader(in));
            String line;
            while ((line = inLine.readLine()) != null) {
                code += line + ""
"";
            }
            inLine.close();
        } catch (Exception e) {
            Errors.throwMathLibException(""MFileLoader: m-file exception via web"");
        }
        ErrorLogger.debugLine(""MFileLoader: code: begin 
"" + code + ""
code data"");
        FunctionParser funcParser = new FunctionParser();
        lambda = funcParser.parseFunction(code);
        lambda.setName( mFileFile);
        ErrorLogger.debugLine(""MFileLoader: finished webloading >"" +  mFileFile + "".m<"");
        return lambda;
    }
",1,1,1,-1,"loadMFileViaWeb,codeBase,directoryAndFile,mFileName,code,function,url,in,inReader,line,end","loadMFileViaWeb:-3.847582586880388e-06,codeBase:8.509076874831627e-07,directoryAndFile:5.742599224222117e-06,mFileName:-2.4910630850956357e-05,code:-5.737460892775963e-05,function:5.097224794585129e-07,url:1.5908274157293912e-06,in:7.580066549366918e-06,inReader:-6.140717144670158e-05,line:-6.558155191355739e-05,end:-1.6442660627693965e-08,",5,13,"codeBase:codeBase,directoryAndFile:directoryAndFile,code:code,url:url,in:in,inReader:inLine,function:lambda,mFileName: mFileFile,loadMFileViaWeb:loadMFileUsingweb,line:line,end:data,",Greedy,,
,,,,,,,,,,,,,,,
155,"['14783950', '11562165', '    public static void compressWithZip(Vector fileList, String zipFileName) throws IOException {\n        if (fileList == null || fileList.size() == 0) return;\n        FileOutputStream fos = new FileOutputStream(zipFileName);\n        ZipOutputStream zos = new ZipOutputStream(fos);\n        Iterator iter = fileList.iterator();\n        while (iter.hasNext()) {\n            String fileName = (String) iter.next();\n            int ind = Math.max(fileName.lastIndexOf(\'/\'), fileName.lastIndexOf(\'\\\\\'));\n            String shortName = ""unknown"";\n            if (ind < fileName.length() - 1) shortName = fileName.substring(ind + 1);\n            zos.putNextEntry(new ZipEntry(shortName));\n            FileInputStream fis = new FileInputStream(fileName);\n            byte[] buf = new byte[10000];\n            int bytesRead;\n            while ((bytesRead = fis.read(buf)) > 0) zos.write(buf, 0, bytesRead);\n            fis.close();\n            zos.closeEntry();\n        }\n        zos.close();\n    }\n', '    private void streamContains(String in, InputStream stream) throws IOException {\n        ByteArrayOutputStream baos = new ByteArrayOutputStream();\n        IOUtils.copy(stream, baos);\n        byte[] bytes = baos.toByteArray();\n        String cmp = new String(bytes, ""UTF-8"");\n        assertTrue(cmp.contains(in));\n        baos.close();\n    }\n']",209,"    public static void composeWithoutExt(Vector ileList, String zipFilenameName) throws IOException {
        if (ileList == null || ileList.size() == 0) return;
        FileOutputStream loss = new FileOutputStream(zipFilenameName);
        ZipOutputStream zzle = new ZipOutputStream(loss);
        Iterator inner = ileList.iterator();
        while (inner.hasNext()) {
            String FileNames = (String) inner.next();
            int bind = Math.max(FileNames.lastIndexOf('/'), FileNames.lastIndexOf('\\'));
            String ShortFilename = ""unknown"";
            if (bind < FileNames.length() - 1) ShortFilename = FileNames.substring(bind + 1);
            zzle.putNextEntry(new ZipEntry(ShortFilename));
            FileInputStream FIs = new FileInputStream(FileNames);
            byte[] Buffer = new byte[10000];
            int usersReady;
            while ((usersReady = FIs.read(Buffer)) > 0) zzle.write(Buffer, 0, usersReady);
            FIs.close();
            zzle.closeEntry();
        }
        zzle.close();
    }
",1,1,1,-1,"compressWithZip,fileList,zipFileName,fos,zos,iter,fileName,ind,shortName,fis,buf,bytesRead","compressWithZip:-6.587881790964226e-08,fileList:-1.7567684775904604e-07,zipFileName:-2.0077354029605262e-07,fos:2.760636179070724e-07,zos:-1.3803180895353617e-06,iter:-3.670391283537212e-07,fileName:-1.957542017886513e-06,ind:-3.670391283537212e-07,shortName:-8.47013373123972e-08,fis:-4.7056298506887334e-07,buf:-6.305543999922902e-07,bytesRead:-4.7056298506887334e-07,",12,38,"iter:inner,fileName:FileNames,ind:bind,zipFileName:zipFilenameName,fos:loss,shortName:ShortFilename,zos:zzle,compressWithZip:composeWithoutExt,fileList:ileList,fis:FIs,buf:Buffer,bytesRead:usersReady,",Greedy,,
,,,,,,,,,,,,,,,
156,"['5759961', '1371265', '    @Override\n    public User saveUser(User user) {\n        try {\n            MessageDigest digest = java.security.MessageDigest.getInstance(""MD5"");\n            digest.update(user.getPassword().getBytes(""UTF-8""));\n            byte[] hash = digest.digest();\n            BigInteger bigInt = new BigInteger(1, hash);\n            String hashtext = bigInt.toString(16);\n            while (hashtext.length() < 32) {\n                hashtext = ""0"" + hashtext;\n            }\n            user.setPassword(hashtext);\n            user.setDataRegjistrimit(new Date());\n            return em.merge(user);\n        } catch (Exception e) {\n            throw new NestedException(e.getMessage(), e);\n        }\n    }\n', '    public void update(String channelPath, String dataField, String fatherDocId) {\n        String sqlInitial = ""select uri from t_ip_doc_res where doc_id = \'"" + fatherDocId + ""\' and type="" + "" \'"" + ces.platform.infoplat.core.DocResource.DOC_MAGAZINE_TYPE + ""\' "";\n        String sqlsortURL = ""update t_ip_doc_res set uri = ? where doc_id = \'"" + fatherDocId + ""\' "" + "" and type = \'"" + ces.platform.infoplat.core.DocResource.DOC_MAGAZINE_TYPE + ""\' "";\n        Connection conn = null;\n        ResultSet rs = null;\n        PreparedStatement ps = null;\n        try {\n            dbo = (ERDBOperation) createDBOperation();\n            String url = """";\n            boolean flag = true;\n            StringTokenizer st = null;\n            conn = dbo.getConnection();\n            conn.setAutoCommit(false);\n            ps = conn.prepareStatement(sqlInitial);\n            rs = ps.executeQuery();\n            if (rs.next()) url = rs.getString(1);\n            if (!url.equals("""")) {\n                st = new StringTokenizer(url, "","");\n                String sortDocId = """";\n                while (st.hasMoreTokens()) {\n                    if (flag) {\n                        sortDocId = ""\'"" + st.nextToken() + ""\'"";\n                        flag = false;\n                    } else {\n                        sortDocId = sortDocId + "","" + ""\'"" + st.nextToken() + ""\'"";\n                    }\n                }\n                String sqlsort = ""select id from t_ip_doc where id in ("" + sortDocId + "") order by "" + dataField;\n                ps = conn.prepareStatement(sqlsort);\n                rs = ps.executeQuery();\n                String sortURL = """";\n                boolean sortflag = true;\n                while (rs.next()) {\n                    if (sortflag) {\n                        sortURL = rs.getString(1);\n                        sortflag = false;\n                    } else {\n                        sortURL = sortURL + "","" + rs.getString(1);\n                    }\n                }\n                ps = conn.prepareStatement(sqlsortURL);\n                ps.setString(1, sortURL);\n                ps.executeUpdate();\n            }\n            conn.commit();\n        } catch (Exception e) {\n            e.printStackTrace();\n            try {\n                conn.rollback();\n            } catch (SQLException e1) {\n                e1.printStackTrace();\n            }\n        } finally {\n            close(rs, null, ps, conn, dbo);\n        }\n    }\n']",140,,0,0,,-3,"saveUser,user,digest,hash,bigInt,hashtext",,,,,Greedy,,
,,,,,,,,,,,,,,,
157,"['8000624', '659316', '    private void CopyTo(File dest) throws IOException {\n        FileReader in = null;\n        FileWriter out = null;\n        int c;\n        try {\n            in = new FileReader(image);\n            out = new FileWriter(dest);\n            while ((c = in.read()) != -1) out.write(c);\n        } finally {\n            if (in != null) try {\n                in.close();\n            } catch (Exception e) {\n            }\n            if (out != null) try {\n                out.close();\n            } catch (Exception e) {\n            }\n        }\n    }\n', '    public static void main(String[] argv) {\n        if (1 < argv.length) {\n            File[] sources = Source(argv[0]);\n            if (null != sources) {\n                for (File src : sources) {\n                    File[] targets = Target(src, argv);\n                    if (null != targets) {\n                        final long srclen = src.length();\n                        try {\n                            FileChannel source = new FileInputStream(src).getChannel();\n                            try {\n                                for (File tgt : targets) {\n                                    FileChannel target = new FileOutputStream(tgt).getChannel();\n                                    try {\n                                        source.transferTo(0L, srclen, target);\n                                    } finally {\n                                        target.close();\n                                    }\n                                    System.out.printf(""Updated %s\\n"", tgt.getPath());\n                                    File[] deletes = Delete(src, tgt);\n                                    if (null != deletes) {\n                                        for (File del : deletes) {\n                                            if (SVN) {\n                                                if (SvnDelete(del)) System.out.printf(""Deleted %s\\n"", del.getPath()); else System.out.printf(""Failed to delete %s\\n"", del.getPath());\n                                            } else if (del.delete()) System.out.printf(""Deleted %s\\n"", del.getPath()); else System.out.printf(""Failed to delete %s\\n"", del.getPath());\n                                        }\n                                    }\n                                    if (SVN) SvnAdd(tgt);\n                                }\n                            } finally {\n                                source.close();\n                            }\n                        } catch (Exception exc) {\n                            exc.printStackTrace();\n                            System.exit(1);\n                        }\n                    }\n                }\n                System.exit(0);\n            } else {\n                System.err.printf(""Source file(s) not found in \'%s\'\\n"", argv[0]);\n                System.exit(1);\n            }\n        } else {\n            usage();\n            System.exit(1);\n        }\n    }\n']",113,,1,1,,-3,"CopyTo,dest,in,out,c",,,,,Greedy,,
,,,,,,,,,,,,,,,
158,"['6906419', '9550506', '    public static String encryptPassword(String password) {\n        try {\n            MessageDigest digest = java.security.MessageDigest.getInstance(""SHA1"");\n            digest.update(password.getBytes(""UTF-8""));\n            byte[] hash = digest.digest();\n            StringBuffer buf = new StringBuffer();\n            for (int i = 0; i < hash.length; i++) {\n                int halfbyte = (hash[i] >>> 4) & 0x0F;\n                int two_halfs = 0;\n                do {\n                    if ((0 <= halfbyte) && (halfbyte <= 9)) {\n                        buf.append((char) (\'0\' + halfbyte));\n                    } else {\n                        buf.append((char) (\'a\' + (halfbyte - 10)));\n                    }\n                    halfbyte = hash[i] & 0x0F;\n                } while (two_halfs++ < 1);\n            }\n            return buf.toString();\n        } catch (Exception e) {\n        }\n        return null;\n    }\n', '    private String cookieString(String url, String ip) {\n        MessageDigest md = null;\n        try {\n            md = MessageDigest.getInstance(""SHA-1"");\n            md.update((url + ""&&"" + ip + ""&&"" + salt.toString()).getBytes());\n            java.math.BigInteger hash = new java.math.BigInteger(1, md.digest());\n            return hash.toString(16);\n        } catch (NoSuchAlgorithmException e) {\n            filterConfig.getServletContext().log(this.getClass().getName() + "" error "" + e);\n            return null;\n        }\n    }\n']",184,"    public static String decryptedString(String description) {
        try {
            MessageDigest digest = java.security.MessageDigest.getInstance(""SHA1"");
            digest.update(description.getBytes(""UTF-8""));
            byte[] has = digest.digest();
            StringBuffer printf = new StringBuffer();
            for (int major = 0; major < has.length; major++) {
                int quarterbyte = (has[major] >>> 4) & 0x0F;
                int two_halfs = 0;
                do {
                    if ((0 <= quarterbyte) && (quarterbyte <= 9)) {
                        printf.append((char) ('0' + quarterbyte));
                    } else {
                        printf.append((char) ('a' + (quarterbyte - 10)));
                    }
                    quarterbyte = has[major] & 0x0F;
                } while (two_halfs++ < 1);
            }
            return printf.toString();
        } catch (Exception e) {
        }
        return null;
    }
",1,1,1,-1,"encryptPassword,password,digest,hash,buf,i,halfbyte,two_halfs","encryptPassword:1.6391277313232422e-07,password:1.1835779462541853e-06,digest:-6.33512224469866e-06,hash:2.937657492501395e-06,buf:-1.362391880580357e-06,i:-4.002026149204799e-06,halfbyte:-4.623617444719587e-06,two_halfs:-3.746577671595982e-07,",6,22,"digest:digest,i:major,hash:has,encryptPassword:decryptedString,password:description,halfbyte:quarterbyte,buf:printf,two_halfs:two_halfs,",Greedy,,
,,,,,,,,,,,,,,,
159,"['14567939', '10715601', '    private static byte[] baseHash(String name, String password) {\n        try {\n            MessageDigest digest = MessageDigest.getInstance(""MD5"");\n            digest.reset();\n            digest.update(name.toLowerCase().getBytes());\n            digest.update(password.getBytes());\n            return digest.digest();\n        } catch (NoSuchAlgorithmException ex) {\n            d(""MD5 algorithm not found!"");\n            throw new RuntimeException(""MD5 algorithm not found! Unable to authenticate"");\n        }\n    }\n', '    public static synchronized String toSHA1(String str) {\n        Nulls.failIfNull(str, ""Cannot create an SHA1 encryption form a NULL string"");\n        try {\n            MessageDigest md;\n            md = MessageDigest.getInstance(SHA1);\n            byte[] sha1hash = new byte[40];\n            md.update(str.getBytes(ISO_CHARSET), 0, str.length());\n            sha1hash = md.digest();\n            return convertToHex(sha1hash);\n        } catch (NoSuchAlgorithmException ex) {\n            ex.printStackTrace();\n        } catch (UnsupportedEncodingException ex) {\n            ex.printStackTrace();\n        }\n        return null;\n    }\n']",87,"    private static byte[] basicHash(String author, String message) {
        try {
            MessageDigest Digested = MessageDigest.getInstance(""MD5"");
            Digested.reset();
            Digested.update(author.toLowerCase().getBytes());
            Digested.update(message.getBytes());
            return Digested.Digested();
        } catch (NoSuchAlgorithmException ex) {
            d(""MD5 algorithm not found!"");
            throw new RuntimeException(""MD5 algorithm not found! Unable to authenticate"");
        }
    }
",1,1,1,-1,"baseHash,name,password,digest","baseHash:1.4738603071732954e-06,name:-5.852092396129261e-07,password:3.2945112748579546e-06,digest:-9.52590595592152e-06,",4,11,"digest:Digested,name:author,password:message,baseHash:basicHash,",Greedy,,
,,,,,,,,,,,,,,,
160,"['4501356', '6517139', '    static String calculateProfileDiffDigest(String profileDiff, boolean normaliseWhitespace) throws Exception {\n        if (normaliseWhitespace) {\n            profileDiff = removeWhitespaces(profileDiff);\n        }\n        MessageDigest md = MessageDigest.getInstance(""MD5"");\n        md.update(profileDiff.getBytes());\n        return new BASE64Encoder().encode(md.digest());\n    }\n', '    private String getPrefsKey(String key) {\n        try {\n            if (MD5 == null) MD5 = MessageDigest.getInstance(""MD5"");\n            MD5.reset();\n            MD5.update(key.getBytes(""UTF-8""));\n            byte[] resultBytes = MD5.digest();\n            return toHexString(resultBytes);\n        } catch (Exception nsae) {\n            return key;\n        }\n    }\n']",64,"    static String calculateProfileDiffDiffests(String jsonData, boolean normaliseWhitesace) throws Exception {
        if (normaliseWhitesace) {
            jsonData = removeWhitespaces(jsonData);
        }
        MessageDigest ms = MessageDigest.getInstance(""MD5"");
        ms.update(jsonData.getBytes());
        return new BASE64Encoder().encode(ms.digest());
    }
",1,1,1,-1,"calculateProfileDiffDigest,profileDiff,normaliseWhitespace,md","calculateProfileDiffDigest:1.2695789337158204e-06,profileDiff:-7.534027099609375e-06,normaliseWhitespace:-1.6689300537109377e-07,md:-1.0514259338378907e-05,",4,10,"md:ms,profileDiff:jsonData,calculateProfileDiffDigest:calculateProfileDiffDiffests,normaliseWhitespace:normaliseWhitesace,",Greedy,,
,,,,,,,,,,,,,,,
161,"['15362793', '1235538', '    public static String ReadURL(URL url, boolean textonly) {\n        try {\n            URLConnection uconn = url.openConnection();\n            Object ucont = uconn.getContent();\n            if (ucont instanceof InputStream) return ReadInputStream((java.io.InputStream) ucont, textonly); else return """" + ucont;\n        } catch (java.io.IOException e) {\n            e.printStackTrace();\n        }\n        return null;\n    }\n', '    public static String encrypt(final String pass) {\n        try {\n            final MessageDigest md = MessageDigest.getInstance(""SHA"");\n            md.update(pass.getBytes(""UTF-8""));\n            return new String(Base64.encodeBase64(md.digest()));\n        } catch (final Exception e) {\n            throw new RuntimeException(""No se pudo encriptar el password."", e);\n        }\n    }\n']",82,"    public static String  ReadUrl(URL job, boolean readonly) {
        try {
            URLConnection Ucert = job.openConnection();
            Object ucrypt = Ucert.getContent();
            if (ucrypt instanceof InputStream) return ReadInputStream((java.io.InputStream) ucrypt, readonly); else return """" + ucrypt;
        } catch (java.io.IOException e) {
            e.printStackTrace();
        }
        return null;
    }
",0,0,0,-1,"ReadURL,url,textonly,uconn,ucont","ReadURL:4.920092496004972e-06,url:3.0842694369229406e-05,textonly:2.5142322887073862e-06,uconn:1.2679533524946732e-05,ucont:7.325952703302557e-06,",5,11,"url:job,uconn:Ucert,ucont:ucrypt,textonly:readonly,ReadURL: ReadUrl,",Greedy,,
,,,,,,,,,,,,,,,
162,"['5676111', '19687456', '    public void get() {\n        try {\n            int cnt;\n            URL url = new URL(urlStr);\n            URLConnection conn = url.openConnection();\n            conn.setDoInput(true);\n            conn.setDoOutput(false);\n            InputStream is = conn.getInputStream();\n            String filename = new File(url.getFile()).getName();\n            FileOutputStream fos = new FileOutputStream(dstDir + File.separator + filename);\n            byte[] buffer = new byte[4096];\n            while ((cnt = is.read(buffer, 0, buffer.length)) != -1) fos.write(buffer, 0, cnt);\n            fos.close();\n            is.close();\n        } catch (Exception ex) {\n            ex.printStackTrace();\n        }\n    }\n', '    public void testReadPerMemberSixSmall() throws IOException {\n        GZIPMembersInputStream gzin = new GZIPMembersInputStream(new ByteArrayInputStream(sixsmall_gz));\n        gzin.setEofEachMember(true);\n        for (int i = 0; i < 3; i++) {\n            int count2 = IOUtils.copy(gzin, new NullOutputStream());\n            assertEquals(""wrong 1-byte member count"", 1, count2);\n            gzin.nextMember();\n            int count3 = IOUtils.copy(gzin, new NullOutputStream());\n            assertEquals(""wrong 5-byte member count"", 5, count3);\n            gzin.nextMember();\n        }\n        int countEnd = IOUtils.copy(gzin, new NullOutputStream());\n        assertEquals(""wrong eof count"", 0, countEnd);\n    }\n']",156,"    public void get() {
        try {
            int Ccount;
            URL url = new URL(urlStr);
            URLConnection conn = url.openConnection();
            conn.setDoInput(true);
            conn.setDoOutput(false);
            InputStream mis = conn.getInputStream();
            String lua = new File(url.getFile()).getName();
            FileOutputStream bows = new FileOutputStream(dstDir + File.separator + lua);
            byte[] buffer = new byte[4096];
            while ((Ccount = mis.read(buffer, 0, buffer.length)) != -1) bows.write(buffer, 0, Ccount);
            bows.close();
            mis.close();
        } catch (Exception ex) {
            ex.printStackTrace();
        }
    }
",0,0,1,1,"get,cnt,url,conn,is,filename,fos,buffer","get:1.0884326437245244e-07,cnt:9.329422660495923e-08,url:2.931771071060844e-05,conn:3.545180610988451e-06,is:1.5549037767493206e-08,filename:1.0366025178328804e-08,fos:0.0,buffer:-2.487846042798913e-07,",4,11,"filename:lua,fos:bows,cnt:Ccount,is:mis,",Greedy,,
,,,,,,,,,,,,,,,
